1,LARC-23-9,LARCENY/THEFT OFFENSES – ALL OTHER LARC,2024-11-02,0430,5900 RICHMOND HWY,ALEXANDRIA,VA,22303
1,LARC-23-9,LARCENY/THEFT OFFENSES – ALL OTHER LARC,2024-11-02,1812,2400 CENTREVILLE RD,HERNDON,VA,20171
1,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2024-11-02,1900,11700 FAIRFAX WOODS WAY,FAIRFAX,VA,22030
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,2333,7900 EDINBURGH DR,SPRINGFIELD,VA,22153
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,0001,6200 QUANDER RD,ALEXANDRIA,VA,22307
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,0123,3200 HOLLY BERRY CT,FALLS CHURCH,VA,22042
2,NOISE-90Z-1,NOISE - NOISE VIOLATION,2024-11-03,0123,3200 HOLLY BERRY CT,FALLS CHURCH,VA,22042
3,DRUNK-90Z-1,DRUNK - DRUNK/PROFANE IN PUBLIC,2024-11-03,0123,3200 HOLLY BERRY CT,FALLS CHURCH,VA,22042
1,SUSP-2,SUSPICIOUS - PERSON,2024-11-03,0142,14800 HANCOCK CT,CENTREVILLE,VA,20120
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,2024-11-03,0139,6200 LITTLE RIVER TPKE,ALEXANDRIA,VA,22312
1,LARC-23-10,LARCENY - THEFT OF SERVICES,2024-11-03,0138,5900 RICHMOND HWY,ALEXANDRIA,VA,22303
1,SUSP-4,SUSPICIOUS - NOISE,2024-11-03,0127,1700 PORT PL,RESTON,VA,20194
1,SERV-6,SERVICE - ANIMAL DESTROYED BY SERVICE WEAPON,2024-11-03,0200,13600 BALMORAL GREENS AVE,CLIFTON,VA,20124
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,0127,7400 RICHMOND HWY,ALEXANDRIA,VA,22306
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,0212,7800 FRANCIS DICKENS LN,ANNANDALE,VA,22003
1,ROB-120-7,ROBBERY - PERSON,2024-11-03,0133,5900 RICHMOND HWY,ALEXANDRIA,VA,22303
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,0106,5800 POST CORNERS TRL,CENTREVILLE,VA,20120
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,0248, FAIRFAX COUNTY PKWY SB / STRINGFELLOW RD,FAIRFAX,VA,22033
1,SERV-47,SERVICE - NON-FATAL OVERDOSE (NFO),2024-11-03,0254, BROOK DR / PATRICK HENRY DR,FALLS CHURCH,VA,22044
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,0321,7700 SARATOGA RIDGE CT,SPRINGFIELD,VA,22153
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,0203,7900 CHARLES THOMSON LN,ANNANDALE,VA,22003
1,SERV-2,SERVICE - CIVIL DISPUTE,2024-11-03,0332,13400 SAND ROCK CT,CHANTILLY,VA,20151
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,0330,2000 MALEADY DR,HERNDON,VA,20170
1,SERV-2,SERVICE - CIVIL DISPUTE,2024-11-03,0433,9800 WOODLEIGH LN,FAIRFAX,VA,22032
2,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,0436,6900 GILBERT ST,SPRINGFIELD,VA,22150
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2024-11-03,0436,6900 GILBERT ST,SPRINGFIELD,VA,22150
2,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2024-11-03,0402,7500 LEESBURG PIKE,FALLS CHURCH,VA,22043
1,ASSLT-13B-2,ASSAULT - SIMPLE ASSAULT ON LEO,2024-11-03,0402,7500 LEESBURG PIKE,FALLS CHURCH,VA,22043
3,DRUNK-90Z-1,DRUNK - DRUNK/PROFANE IN PUBLIC,2024-11-03,0402,7500 LEESBURG PIKE,FALLS CHURCH,VA,22043
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,0502,5800 SEMINARY RD,FALLS CHURCH,VA,22041
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,0455,6700 ROLLING RD,SPRINGFIELD,VA,22152
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,0453,13700 ATLANTIS ST,HERNDON,VA,20171
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,0615,3800 SOUTH GEORGE MASON DR,FALLS CHURCH,VA,22041
1,SERV-6,SERVICE - ANIMAL DESTROYED BY SERVICE WEAPON,2024-11-03,0653, FAIR LAKES CIR / SHOPPES LN,FAIRFAX,VA,22033
1,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2024-11-03,0013,8100 TERMINAL RD,LORTON,VA,22079
1,SERV-2,SERVICE - CIVIL DISPUTE,2024-11-03,0700,3000 ANNANDALE RD,FALLS CHURCH,VA,22042
1,SERV-32,SERVICE - STOLEN AUTO RECOVERY OTHER JURISDICTION,2024-11-03,0758,2200 GALLOWS RD,DUNN LORING,VA,22182
1,ASSLT-13C-3,THREATS - TELEPHONE THREATS/ABUSE/OBSCENE,2024-11-03,0805,7000 MANCHESTER BLVD,ALEXANDRIA,VA,22310
1,ASSLT-13A-2,ASSAULT - KNIFE OR CUTTING INSTRUMENT,2024-11-03,0754,5200 AMPTHILL DR,ALEXANDRIA,VA,22312
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,0754,6400 RICHMOND HWY,ALEXANDRIA,VA,22306
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,0900,7700 RICHMOND HWY,ALEXANDRIA,VA,22306
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,0741,8000 KIDWELL TOWN CT,VIENNA,VA,22182
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2024-11-03,0910,2600 VELOCITY RD,HERNDON,VA,20171
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,0950,3300 GALLOWS RD,FALLS CHURCH,VA,22042
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,0941,14600 CHEVERLY CT,CENTREVILLE,VA,20120
1,ASSLT-13A-3,ASSAULT - OTHER DANGEROUS WEAPON,2024-11-03,0940,11900 BOWMAN TOWNE DR,RESTON,VA,20190
1,ASSLT-13C-3,THREATS - TELEPHONE THREATS/ABUSE/OBSCENE,2024-11-03,0800,7100 ROCK RIDGE LN,ALEXANDRIA,VA,22315
1,SERV-4,SERVICE - INJURED/SICK PERSON,2024-11-03,0933,8500 TYSPRING ST,VIENNA,VA,22182
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2024-11-03,0941,7700 STONE WHEAT CT,ALEXANDRIA,VA,22315
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2024-11-03,1005,11700 POTOMAC CROSSING WAY,FAIRFAX,VA,22030
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1015,5800 NORTH KINGS HWY,ALEXANDRIA,VA,22303
2,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1015,5800 NORTH KINGS HWY,ALEXANDRIA,VA,22303
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1015,5800 KINGSTOWNE BLVD,ALEXANDRIA,VA,22315
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,0950,7700 EUCLID WAY,SPRINGFIELD,VA,22153
1,SERV-5,SERVICE - ANIMAL DESTROYED BY CHEMICAL,2024-11-03,1058,2100 GLENN SPRING CT,FALLS CHURCH,VA,22043
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1000,11300 WESTBROOK MILL LN,FAIRFAX,VA,22030
1,LARC-23-7,LARCENY - THEFT OF MOTOR VEHICLE PARTS,2024-11-03,0945,14300 CHANTILLY CROSSING LN,CHANTILLY,VA,20151
1,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2024-11-03,1126,5500 CAITHNESS CT,FAIRFAX,VA,22032
2,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2024-11-03,1126,5500 CAITHNESS CT,FAIRFAX,VA,22032
3,ANML-90Z-7,ANIMAL - OTHER ANIMAL CODE VIOLATION,2024-11-03,1126,5500 CAITHNESS CT,FAIRFAX,VA,22032
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,1022,8700 OLD DOMINION DR,MCLEAN,VA,22102
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,1117,2500 CHAIN BRIDGE RD,VIENNA,VA,22181
1,SERV-5,SERVICE - ANIMAL DESTROYED BY CHEMICAL,2024-11-03,1148,8300 JUDY WITT LN,VIENNA,VA,22182
1,BURG-220-3,BURGLARY/BREAKING AND ENTERING,2024-11-03,1139,4000 LEES CORNER RD,CHANTILLY,VA,20151
2,LARC-23-12,LARCENY - ANIMALS/LIVESTOCK,2024-11-03,1139,4000 LEES CORNER RD,CHANTILLY,VA,20151
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1222,4300 BACKLICK RD,ANNANDALE,VA,22003
2,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2024-11-03,1235,6900 BRADLICK SHOPPING CTR,ANNANDALE,VA,22003
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1235,6900 BRADLICK SHOPPING CTR,ANNANDALE,VA,22003
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2024-11-03,1156,8100 LEESBURG PIKE,VIENNA,VA,22182
1,ASSLT-13A-1,ASSAULT - AGGRAVATED,2024-11-03,1229,3100 PATRICK HENRY DR,FALLS CHURCH,VA,22044
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,1327,3100 JERMANTOWN RD,OAKTON,VA,22124
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2024-11-03,1240,6500 COLUMBIA PIKE,ANNANDALE,VA,22003
1,SERV-23,SERVICE - MISSING ADULT,2024-11-03,1314,6100 UNION VILLAGE DR,CLIFTON,VA,20124
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1230,8300 LEESBURG PIKE,VIENNA,VA,22182
